,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,9,Linear,0.015360649680671412,8192,9216,1.125,2.443639299858186,6.872735530851148,-1.1845929804144681,True,650.0,LAYER_TYPE.DENSE,7.144503062339672,4.332,2.812,transformer.h.0.self_attention.query_key_value,0,21470.0,8192,413,8192,1,0.07103684594680636,650.0,33.03,success,25.5,,0,650.0,11.140625
1,10,Linear,0.016093666115943872,8192,8192,1.0,2.856584470065887,7.213991640224984,-1.2239722585964958,True,334.8,LAYER_TYPE.DENSE,7.260147625827451,4.035,2.525,transformer.h.0.self_attention.dense,0,10840.0,8192,428,8192,1,0.08974139761040996,334.8,32.38,success,18.296875,,15,334.75,5.421875
2,13,Linear,0.019362713426622657,8192,32768,4.0,2.8020069915895434,10.82494107297679,-1.1773600517687894,True,7290.0,LAYER_TYPE.DENSE,10.824987827329677,4.703,3.863,transformer.h.0.mlp.dense_h_to_4h,0,50270.0,8192,364,8192,1,0.09445083024750998,7290.0,6.9,success,85.375,,0,7288.0,19.03125
3,15,Linear,0.03943920035686477,8192,32768,4.0,3.884371538023652,11.584834645629135,-1.2649588542553412,True,961.0,LAYER_TYPE.DENSE,11.59711681576434,4.402,2.982,transformer.h.0.mlp.dense_4h_to_h,0,25260.0,8192,866,8192,1,0.09801493481760315,961.0,26.3,success,31.0,,0,961.0,6.984375
4,21,Linear,0.031792621958100176,8192,9216,1.125,3.34535453355942,8.193505048991236,-1.181378345460833,True,281.0,LAYER_TYPE.DENSE,8.876406620083744,4.414,2.45,transformer.h.1.self_attention.query_key_value,0,26020.0,8192,82,8192,1,0.25900108032752667,281.0,92.56,success,16.765625,,0,281.0,55.4375
5,22,Linear,0.023879610262300455,8192,8192,1.0,3.950285936871449,7.518659463830521,-1.2553149493944362,True,80.0,LAYER_TYPE.DENSE,7.830868387318711,4.137,1.903,transformer.h.1.self_attention.dense,0,13760.0,8192,154,8192,1,0.23774081583721468,80.0,172.0,success,8.9453125,,7,80.0,11.0625
6,25,Linear,0.02212856067496094,8192,32768,4.0,2.9193664968391446,9.32258637174219,-1.1958442027521903,True,1563.0,LAYER_TYPE.DENSE,9.370824488405182,4.457,3.193,transformer.h.1.mlp.dense_h_to_4h,0,28530.0,8192,233,8192,1,0.12574187998747102,1563.0,18.25,success,39.53125,,0,1563.0,22.15625
7,27,Linear,0.014649205870212123,8192,32768,4.0,3.0142865887188437,9.23713995644505,-1.2641551955169323,True,1162.0,LAYER_TYPE.DENSE,9.267373972671468,4.523,3.064,transformer.h.1.mlp.dense_4h_to_h,0,33470.0,8192,988,8192,1,0.06408299323341286,1162.0,28.81,success,34.09375,,0,1162.0,7.76953125
8,33,Linear,0.048725041557041604,8192,9216,1.125,2.2857232313199773,5.504485828549868,-1.2078990838283212,True,255.8,LAYER_TYPE.DENSE,6.222484846066825,4.305,2.408,transformer.h.2.self_attention.query_key_value,0,20220.0,8192,661,8192,1,0.05000883775987622,255.8,79.06,success,15.9921875,,0,255.75,7.171875
9,34,Linear,0.02444201223674436,8192,8192,1.0,4.1290990577518265,8.072711243768708,-1.2641551955169323,True,90.25,LAYER_TYPE.DENSE,8.18055284838304,4.145,1.955,transformer.h.2.self_attention.dense,0,13990.0,8192,97,8192,1,0.3177118728611538,90.25,155.0,success,9.5,,5,90.25,12.46875
10,37,Linear,0.010522107787817814,8192,32768,4.0,2.5612532001849617,8.459138987329629,-0.4914373185369384,True,2008.0,LAYER_TYPE.DENSE,8.5494090129077,inf,3.303,transformer.h.2.mlp.dense_h_to_4h,0,inf,8192,602,8192,1,0.06363193000968238,2008.0,inf,success,44.8125,,0,2008.0,23.203125
11,39,Linear,0.03015398949820014,8192,32768,4.0,3.4462505277724897,7.605982610122878,-1.3051417911757777,True,161.0,LAYER_TYPE.DENSE,8.044681010368192,4.75,2.207,transformer.h.2.mlp.dense_4h_to_h,0,56220.0,8192,75,8192,1,0.2824686801429422,161.0,349.2,success,12.6875,,0,161.0,23.265625
12,45,Linear,0.032386143316969096,8192,9216,1.125,3.535081807237598,7.84346275980842,-1.220757623642861,True,165.4,LAYER_TYPE.DENSE,8.368559340126238,4.293,2.219,transformer.h.3.self_attention.query_key_value,0,19580.0,8192,76,8192,1,0.29079382661466174,165.4,118.44,success,12.859375,,0,165.375,32.03125
13,46,Linear,0.031373189552437064,8192,8192,1.0,3.031830296439404,6.14064065899934,-1.256118608132845,True,106.2,LAYER_TYPE.DENSE,6.53844884304502,4.16,2.025,transformer.h.3.self_attention.dense,0,14510.0,8192,480,8192,1,0.09273994053185584,106.2,136.6,success,10.3046875,,6,106.1875,6.38671875
14,49,Linear,0.010494692745825152,8192,32768,4.0,3.064411154703291,9.211188998219463,-0.4914373185369384,True,1013.0,LAYER_TYPE.DENSE,9.238769123481926,inf,3.006,transformer.h.3.mlp.dense_h_to_4h,0,inf,8192,985,8192,1,0.06577760882708114,1013.0,inf,success,31.828125,,0,1013.0,16.1875
15,51,Linear,0.015017346411932753,8192,32768,4.0,3.904041184018952,9.09672096198166,-1.301123497483734,True,213.6,LAYER_TYPE.DENSE,9.230948557566256,4.742,2.33,transformer.h.3.mlp.dense_4h_to_h,0,55000.0,8192,1134,8192,1,0.08623751704508138,213.6,257.5,success,14.6171875,,0,213.625,11.3125
16,57,Linear,0.0444283355878784,8192,9216,1.125,2.6758290006478913,5.842923481883481,-1.2344198221958094,True,152.4,LAYER_TYPE.DENSE,6.62869897783775,4.31,2.184,transformer.h.4.self_attention.query_key_value,0,20270.0,8192,386,8192,1,0.08529745028067803,152.4,133.0,success,12.34375,,0,152.375,10.984375
17,58,Linear,0.018039938564545555,8192,8192,1.0,3.321794466710512,6.650076813238818,-1.2601369018248887,True,100.6,LAYER_TYPE.DENSE,6.9562174482265995,4.164,2.002,transformer.h.4.self_attention.dense,0,14550.0,8192,281,8192,1,0.13850664572423144,100.6,144.6,success,10.03125,,6,100.625,8.1328125
18,61,Linear,0.006330738033767158,8192,32768,4.0,3.424620053640363,10.688560245541602,-0.4914373185369384,True,1319.0,LAYER_TYPE.DENSE,10.717955643528095,inf,3.121,transformer.h.4.mlp.dense_h_to_4h,0,inf,8192,443,8192,1,0.1153274151270988,1319.0,inf,success,36.3125,,0,1319.0,22.1875
19,63,Linear,0.012059060232866736,8192,32768,4.0,3.6927679960028033,10.559008488570516,-1.2963015450532815,True,724.0,LAYER_TYPE.DENSE,10.567601225040708,4.75,2.86,transformer.h.4.mlp.dense_4h_to_h,0,56480.0,8192,1145,8192,1,0.07957858152677724,724.0,78.0,success,26.90625,,0,724.0,11.40625
20,69,Linear,0.035325774413578814,8192,9216,1.125,2.7342744831111134,5.9652042922560815,-1.2400454333646704,True,151.8,LAYER_TYPE.DENSE,6.700775719013924,4.297,2.182,transformer.h.5.self_attention.query_key_value,0,19890.0,8192,416,8192,1,0.08502980222413085,151.8,131.0,success,12.3203125,,0,151.75,9.875
21,70,Linear,0.03008492909200755,8192,8192,1.0,4.797386261095913,9.641621997397841,-1.2633515367785235,True,102.4,LAYER_TYPE.DENSE,9.67918454041561,4.195,2.01,transformer.h.5.self_attention.dense,0,15720.0,8192,37,8192,1,0.6242864557314453,102.4,153.5,success,10.1171875,,4,102.375,20.1875
22,73,Linear,0.011139718574704971,8192,32768,4.0,3.4657390991780415,10.451369470958781,-0.4914373185369384,True,1038.0,LAYER_TYPE.DENSE,10.459695712031799,inf,3.016,transformer.h.5.mlp.dense_h_to_4h,0,inf,8192,1101,8192,1,0.07431106103537247,1038.0,inf,success,32.21875,,0,1038.0,14.8046875
23,75,Linear,0.00833636007812899,8192,32768,4.0,3.852365217066993,9.811492662217498,-1.3003198387453252,True,351.5,LAYER_TYPE.DENSE,9.84798638856494,4.74,2.547,transformer.h.5.mlp.dense_4h_to_h,0,54800.0,8192,807,8192,1,0.10040801107677415,351.5,155.9,success,18.75,,0,351.5,12.890625
24,81,Linear,0.02715363012645125,8192,9216,1.125,3.589490311300158,7.641688358041352,-1.2424564095798967,True,134.4,LAYER_TYPE.DENSE,8.198365382914222,4.312,2.129,transformer.h.6.self_attention.query_key_value,0,20460.0,8192,120,8192,1,0.23638704265669522,134.4,152.2,success,11.59375,,0,134.375,22.890625
25,82,Linear,0.03182367225646976,8192,8192,1.0,3.133122046332876,6.055125517278087,-1.2593332430864799,True,85.7,LAYER_TYPE.DENSE,6.596001328541787,4.188,1.933,transformer.h.6.self_attention.dense,0,15430.0,8192,522,8192,1,0.09336421558613392,85.7,180.1,success,9.2578125,,6,85.6875,6.5078125
26,85,Linear,0.013632517169106073,8192,32768,4.0,3.2963691748232016,9.921298629692487,-0.4914373185369384,True,1023.0,LAYER_TYPE.DENSE,9.931651634586403,inf,3.01,transformer.h.6.mlp.dense_h_to_4h,0,inf,8192,268,8192,1,0.14053551122100966,1023.0,inf,success,31.984375,,0,1023.0,24.65625
27,87,Linear,0.010622347794197573,8192,32768,4.0,3.725534342558782,8.884526234891158,-1.2995161800069164,True,242.6,LAYER_TYPE.DENSE,9.006951155429602,4.754,2.385,transformer.h.6.mlp.dense_4h_to_h,0,56540.0,8192,644,8192,1,0.10740109889663109,242.6,233.0,success,15.578125,,0,242.625,14.7578125
28,93,Linear,0.03842133775053874,8192,9216,1.125,2.4972210656251406,5.004196901037879,-1.2400454333646704,True,101.1,LAYER_TYPE.DENSE,6.19618326141034,4.28,2.004,transformer.h.7.self_attention.query_key_value,0,19180.0,8192,705,8192,1,0.056388607563143345,101.1,189.8,success,10.0546875,,0,101.125,6.328125
29,94,Linear,0.03558563792917191,8192,8192,1.0,5.189761559602019,9.431783459393904,-1.2585295843480713,True,65.6,LAYER_TYPE.DENSE,9.666778791921567,4.17,1.817,transformer.h.7.self_attention.dense,0,14810.0,8192,31,8192,1,0.7525033903324921,65.6,225.6,success,8.1015625,,6,65.625,22.265625
30,97,Linear,0.010585938724773869,8192,32768,4.0,3.316197326789405,10.17528515700421,-0.4914373185369384,True,1169.0,LAYER_TYPE.DENSE,10.179382382304803,inf,3.068,transformer.h.7.mlp.dense_h_to_4h,0,inf,8192,300,8192,1,0.13394914994626023,1169.0,inf,success,34.1875,,0,1169.0,24.296875
31,99,Linear,0.014769401780409808,8192,32768,4.0,3.264739683709227,7.7154980806409466,-1.2963015450532815,True,230.9,LAYER_TYPE.DENSE,7.972982840124692,4.723,2.363,transformer.h.7.mlp.dense_4h_to_h,0,52740.0,8192,1307,8192,1,0.06264414645972487,230.9,228.4,success,15.1953125,,0,230.875,10.0390625
32,105,Linear,0.03428453559449007,8192,9216,1.125,4.057204283062942,8.47892301343232,-1.2456710445335315,True,123.25,LAYER_TYPE.DENSE,8.961973714544282,4.3,2.09,transformer.h.8.self_attention.query_key_value,0,19940.0,8192,42,8192,1,0.47173686239506735,123.25,161.8,success,11.1015625,,0,123.25,34.6875
33,106,Linear,0.03834537676638444,8192,8192,1.0,3.878081578263488,7.585739649669694,-1.2569222668712539,True,90.4,LAYER_TYPE.DENSE,7.892134100679523,4.2,1.956,transformer.h.8.self_attention.dense,0,15810.0,8192,107,8192,1,0.27823464801574466,90.4,174.9,success,9.5078125,,7,90.375,14.9375
34,109,Linear,0.015398115979437299,8192,32768,4.0,3.392774359012279,10.3174798378557,-0.4914373185369384,True,1099.0,LAYER_TYPE.DENSE,10.321057132612925,inf,3.041,transformer.h.8.mlp.dense_h_to_4h,0,inf,8192,103,8192,1,0.23576706319755983,1099.0,inf,success,33.15625,,0,1099.0,33.0625
35,111,Linear,0.023661062734151694,8192,32768,4.0,4.942281950652859,11.187704650013014,-1.2995161800069164,True,183.5,LAYER_TYPE.DENSE,11.239864607070865,4.746,2.264,transformer.h.8.mlp.dense_4h_to_h,0,55780.0,8192,67,8192,1,0.48162639540715085,183.5,304.0,success,13.546875,,0,183.5,33.75
36,117,Linear,0.03877573272439078,8192,9216,1.125,2.9646147783786443,6.3808700894009105,-1.250492996963984,True,142.1,LAYER_TYPE.DENSE,6.980214290539104,4.32,2.152,transformer.h.9.self_attention.query_key_value,0,20910.0,8192,364,8192,1,0.10297379410870625,142.1,147.1,success,11.921875,,0,142.125,11.125
37,118,Linear,0.03885982487324152,8192,8192,1.0,4.048883739234617,7.318831837229761,-1.2665661717321586,True,64.25,LAYER_TYPE.DENSE,7.657195147506382,4.195,1.808,transformer.h.9.self_attention.dense,0,15720.0,8192,192,8192,1,0.22003423094687236,64.25,244.6,success,8.015625,,6,64.25,10.4140625
38,121,Linear,0.009873794483624132,8192,32768,4.0,3.3375804272486453,10.156152940729276,-0.4914373185369384,True,1103.0,LAYER_TYPE.DENSE,10.161424084356314,inf,3.043,transformer.h.9.mlp.dense_h_to_4h,0,inf,8192,410,8192,1,0.11572747582753054,1103.0,inf,success,33.21875,,0,1103.0,21.3125
39,123,Linear,0.018532926099001534,8192,32768,4.0,3.279104935693342,7.37798610531002,-1.2963015450532815,True,178.0,LAYER_TYPE.DENSE,7.838424344850002,4.72,2.25,transformer.h.9.mlp.dense_4h_to_h,0,52160.0,8192,1094,8192,1,0.06890578117969001,178.0,293.0,success,13.34375,,0,178.0,10.8984375
40,129,Linear,0.03380958920883015,8192,9216,1.125,3.0522139134809083,6.247500354156235,-1.247278362010349,True,111.4,LAYER_TYPE.DENSE,7.136078817106833,4.33,2.047,transformer.h.10.self_attention.query_key_value,0,21220.0,8192,258,8192,1,0.12776525753764728,111.4,190.5,success,10.5546875,,0,111.375,14.2421875
41,130,Linear,0.04276098263422726,8192,8192,1.0,4.734661551089044,8.299528793168783,-1.2633515367785235,True,56.66,LAYER_TYPE.DENSE,8.708421267499869,4.203,1.753,transformer.h.10.self_attention.dense,0,15944.0,8192,59,8192,1,0.4862115202182371,56.66,281.5,success,7.52734375,,6,56.65625,16.953125
42,133,Linear,0.00829908820237657,8192,32768,4.0,3.8321048247121916,11.818151402774513,-0.4914373185369384,True,1214.0,LAYER_TYPE.DENSE,11.81958888024618,inf,3.084,transformer.h.10.mlp.dense_h_to_4h,0,inf,8192,1006,8192,1,0.08929154416295,1214.0,inf,success,34.84375,,0,1214.0,14.984375
43,135,Linear,0.02513064632182932,8192,32768,4.0,3.5946828670518283,7.8142227168529,-1.2995161800069164,True,149.5,LAYER_TYPE.DENSE,8.287982392310852,4.734,2.174,transformer.h.10.mlp.dense_4h_to_h,0,54430.0,8192,958,8192,1,0.08383039829974719,149.5,364.0,success,12.2265625,,0,149.5,12.2265625
44,141,Linear,0.042264590801039836,8192,9216,1.125,2.5664897707177543,5.168068268769541,-1.2464747032719403,True,103.0,LAYER_TYPE.DENSE,6.277832935134822,4.3,2.014,transformer.h.11.self_attention.query_key_value,0,20030.0,8192,715,8192,1,0.058583395840464104,103.0,194.5,success,10.1484375,,0,103.0,6.578125
45,142,Linear,0.04780953864858162,8192,8192,1.0,4.028615931955571,6.857302313865781,-1.262547878040115,True,50.38,LAYER_TYPE.DENSE,7.582837101286893,4.207,1.702,transformer.h.11.self_attention.dense,0,16180.0,8192,183,8192,1,0.22388173184534652,50.38,321.0,success,7.09765625,,5,50.375,11.6171875
46,145,Linear,0.00904832115936871,8192,32768,4.0,3.407016054394699,10.520492933589882,-0.4914373185369384,True,1225.0,LAYER_TYPE.DENSE,10.524997079746797,inf,3.088,transformer.h.11.mlp.dense_h_to_4h,0,inf,8192,500,8192,1,0.10764503041119756,1225.0,inf,success,35.0,,0,1225.0,20.921875
47,147,Linear,0.028255169836631955,8192,32768,4.0,3.084001743030154,6.806488221922019,-1.2946942275764641,True,161.4,LAYER_TYPE.DENSE,7.485038354557546,4.72,2.207,transformer.h.11.mlp.dense_4h_to_h,0,52480.0,8192,1428,8192,1,0.055148534248870326,161.4,325.2,success,12.703125,,0,161.375,9.5859375
48,153,Linear,0.03785518367289811,8192,9216,1.125,4.229509441408734,8.723363222905514,-1.244063727056714,True,115.56,LAYER_TYPE.DENSE,9.249828828450593,4.305,2.062,transformer.h.12.self_attention.query_key_value,0,20260.0,8192,49,8192,1,0.4613584916298191,115.56,175.2,success,10.75,,0,115.5625,33.84375
49,154,Linear,0.04304800390158725,8192,8192,1.0,3.517692543538115,6.454828407527459,-1.2512966557023926,True,68.44,LAYER_TYPE.DENSE,7.3004115443893145,4.21,1.835,transformer.h.12.self_attention.dense,0,16190.0,8192,173,8192,1,0.19141661949377436,68.44,236.6,success,8.2734375,,6,68.4375,13.3828125
50,157,Linear,0.004945505206732981,8192,32768,4.0,3.65103083229954,11.323900315804043,-0.4914373185369384,True,1262.0,LAYER_TYPE.DENSE,11.323006406436916,inf,3.102,transformer.h.12.mlp.dense_h_to_4h,0,inf,8192,860,8192,1,0.09039940106949922,1262.0,inf,success,35.53125,,0,1262.0,16.03125
51,159,Linear,0.02398828636134176,8192,32768,4.0,3.317786042716183,7.017895086448489,-1.2963015450532815,True,130.6,LAYER_TYPE.DENSE,7.8606787401218225,4.742,2.115,transformer.h.12.mlp.dense_4h_to_h,0,55000.0,8192,909,8192,1,0.07687611038174136,130.6,421.0,success,11.4296875,,0,130.625,12.609375
52,165,Linear,0.03934111328895462,8192,9216,1.125,2.9369910615610304,6.1837428991460754,-1.2480820207487577,True,127.6,LAYER_TYPE.DENSE,6.950267534901388,4.312,2.105,transformer.h.13.self_attention.query_key_value,0,20510.0,8192,273,8192,1,0.11723203209901069,127.6,160.8,success,11.296875,,0,127.625,12.9609375
53,166,Linear,0.04227425845062238,8192,8192,1.0,4.973115112109868,8.382418636232062,-1.2657625129937498,True,48.47,LAYER_TYPE.DENSE,8.902108916618921,4.21,1.686,transformer.h.13.self_attention.dense,0,16300.0,8192,53,8192,1,0.5457493324324703,48.47,336.5,success,6.9609375,,5,48.46875,17.140625
54,169,Linear,0.011148717860556767,8192,32768,4.0,3.5436584195978225,11.080853769093972,-0.4914373185369384,True,1337.0,LAYER_TYPE.DENSE,11.079257837184915,inf,3.127,transformer.h.13.mlp.dense_h_to_4h,0,inf,8192,573,8192,1,0.10626285492990935,1337.0,inf,success,36.5625,,0,1337.0,19.421875
55,171,Linear,0.028401695148963624,8192,32768,4.0,3.304837795820646,6.958232702919251,-1.2954978863148727,True,127.25,LAYER_TYPE.DENSE,7.809847966262624,4.73,2.105,transformer.h.13.mlp.dense_4h_to_h,0,53760.0,8192,1002,8192,1,0.07281259449579418,127.25,422.5,success,11.28125,,0,127.25,11.9140625
56,177,Linear,0.03748706640282451,8192,9216,1.125,3.1563350092630245,6.442129071640353,-1.2488856794871666,True,109.75,LAYER_TYPE.DENSE,7.2314033663789585,4.305,2.041,transformer.h.14.self_attention.query_key_value,0,20240.0,8192,227,8192,1,0.1431209813267011,109.75,184.4,success,10.4765625,,0,109.75,14.4140625
57,178,Linear,0.052680714190485256,8192,8192,1.0,3.0410768826703625,5.013025173776926,-1.2569222668712539,True,44.5,LAYER_TYPE.DENSE,6.424338566535481,4.23,1.648,transformer.h.14.self_attention.dense,0,17010.0,8192,563,8192,1,0.08602113459349382,44.5,382.2,success,6.671875,,6,44.5,7.203125
58,181,Linear,0.005996760468382073,8192,32768,4.0,3.781730891076883,11.648026592242665,-0.4914373185369384,True,1201.0,LAYER_TYPE.DENSE,11.64664860324834,inf,3.08,transformer.h.14.mlp.dense_h_to_4h,0,inf,8192,610,8192,1,0.11272142413373738,1201.0,inf,success,34.65625,,0,1201.0,18.46875
59,183,Linear,0.03367531257066425,8192,32768,4.0,4.571524516632996,9.357339244983164,-1.2995161800069164,True,111.4,LAYER_TYPE.DENSE,9.830935785230519,4.754,2.047,transformer.h.14.mlp.dense_4h_to_h,0,56640.0,8192,137,8192,1,0.3051359320508553,111.4,508.5,success,10.5546875,,0,111.375,27.078125
60,189,Linear,0.02715835065125527,8192,9216,1.125,3.1121899527777352,6.546540193635979,-1.2488856794871666,True,126.94,LAYER_TYPE.DENSE,7.210080523142683,4.305,2.104,transformer.h.15.self_attention.query_key_value,0,20210.0,8192,215,8192,1,0.14405015916808223,126.94,159.2,success,11.265625,,0,126.9375,14.53125
61,190,Linear,0.037278824269574296,8192,8192,1.0,4.040970794308102,6.499491111548284,-1.261744219301706,True,40.62,LAYER_TYPE.DENSE,7.629656438009705,4.23,1.608,transformer.h.15.self_attention.dense,0,17040.0,8192,225,8192,1,0.20273138628720677,40.62,419.5,success,6.375,,6,40.625,11.5
62,193,Linear,0.007551376236781537,8192,32768,4.0,3.782530876254643,11.753919187736596,-0.4914373185369384,True,1280.0,LAYER_TYPE.DENSE,11.753645005893189,inf,3.107,transformer.h.15.mlp.dense_h_to_4h,0,inf,8192,360,8192,1,0.14665225381181338,1280.0,inf,success,35.78125,,0,1280.0,22.640625
63,195,Linear,0.01840828766920638,8192,32768,4.0,3.4239917853514976,7.088732993110522,-1.2987125212685078,True,117.75,LAYER_TYPE.DENSE,7.982696845743322,4.76,2.07,transformer.h.15.mlp.dense_4h_to_h,0,57630.0,8192,1116,8192,1,0.07256029611974617,117.75,489.5,success,10.8515625,,0,117.75,11.9140625
64,201,Linear,0.028149968214068066,8192,9216,1.125,2.81455995748661,6.019420221577809,-1.2512966557023926,True,137.4,LAYER_TYPE.DENSE,6.6483967734808935,4.285,2.139,transformer.h.16.self_attention.query_key_value,0,19260.0,8192,480,8192,1,0.08282295172175262,137.4,140.2,success,11.71875,,0,137.375,8.2578125
65,202,Linear,0.05829916693888265,8192,8192,1.0,2.971361770839799,4.825561157135338,-1.261744219301706,True,42.1,LAYER_TYPE.DENSE,6.257465476660741,4.234,1.624,transformer.h.16.self_attention.dense,0,17180.0,8192,767,8192,1,0.07118174794555773,42.1,408.2,success,6.48828125,,5,42.09375,5.89453125
66,205,Linear,0.00710359262661403,8192,32768,4.0,3.733692289453901,11.565695256003686,-0.4914373185369384,True,1251.0,LAYER_TYPE.DENSE,11.56498892056271,inf,3.098,transformer.h.16.mlp.dense_h_to_4h,0,inf,8192,321,8192,1,0.15257982470775605,1251.0,inf,success,35.375,,0,1251.0,24.265625
67,207,Linear,0.025348244459489022,8192,32768,4.0,3.7140143117535374,7.776217465233969,-1.3003198387453252,True,123.94,LAYER_TYPE.DENSE,8.46694544422046,4.777,2.094,transformer.h.16.mlp.dense_4h_to_h,0,59900.0,8192,720,8192,1,0.10114534154980359,123.94,483.2,success,11.1328125,,0,123.9375,15.078125
68,213,Linear,0.03350697531184005,8192,9216,1.125,2.750015862299155,5.757845711688856,-1.2480820207487577,True,123.94,LAYER_TYPE.DENSE,6.468906414808426,4.26,2.094,transformer.h.17.self_attention.query_key_value,0,18270.0,8192,444,8192,1,0.08305207741974736,123.94,147.4,success,11.1328125,,0,123.9375,8.359375
69,214,Linear,0.0276546596664059,8192,8192,1.0,2.884878929633465,4.890771310394234,-1.2609405605632975,True,49.6,LAYER_TYPE.DENSE,6.231085137718834,4.23,1.695,transformer.h.17.self_attention.dense,0,16940.0,8192,820,8192,1,0.06582282741568735,49.6,341.8,success,7.04296875,,5,49.59375,5.328125
70,217,Linear,0.010681047087101492,8192,32768,4.0,3.908255185633261,12.2438306987417,-0.4914373185369384,True,1357.0,LAYER_TYPE.DENSE,12.243216936565249,inf,3.133,transformer.h.17.mlp.dense_h_to_4h,0,inf,8192,143,8192,1,0.24320051620475028,1357.0,inf,success,36.84375,,0,1357.0,32.53125
71,219,Linear,0.012870684960017309,8192,32768,4.0,3.4158304138991324,7.211938823095629,-1.2987125212685078,True,129.0,LAYER_TYPE.DENSE,8.075310007207577,4.78,2.111,transformer.h.17.mlp.dense_4h_to_h,0,60580.0,8192,1117,8192,1,0.07228361397541293,129.0,469.5,success,11.359375,,0,129.0,12.4453125
72,225,Linear,0.034278210664597186,8192,9216,1.125,3.0745654930429263,6.941792402260982,-1.247278362010349,True,181.0,LAYER_TYPE.DENSE,7.295221286821538,4.305,2.258,transformer.h.18.self_attention.query_key_value,0,20220.0,8192,197,8192,1,0.1478066713860218,181.0,111.75,success,13.453125,,0,181.0,15.4765625
73,226,Linear,0.02744062013571441,8192,8192,1.0,4.086652753512807,6.924162624360078,-1.2633515367785235,True,49.44,LAYER_TYPE.DENSE,7.8141969311339,4.23,1.694,transformer.h.18.self_attention.dense,0,17020.0,8192,136,8192,1,0.2646782900268377,49.44,344.2,success,7.03125,,6,49.4375,13.421875
74,229,Linear,0.005840425034417174,8192,32768,4.0,3.90187027341826,12.178102923676523,-0.4914373185369384,True,1323.0,LAYER_TYPE.DENSE,12.180175538938036,inf,3.121,transformer.h.18.mlp.dense_h_to_4h,0,inf,8192,487,8192,1,0.13149629396288104,1323.0,inf,success,36.375,,0,1323.0,19.9375
75,231,Linear,0.01767851304804141,8192,32768,4.0,3.800029880608252,7.637169428019319,-1.3019271562221426,True,102.06,LAYER_TYPE.DENSE,8.545136360444772,4.797,2.01,transformer.h.18.mlp.dense_4h_to_h,0,62530.0,8192,911,8192,1,0.09276912865787783,102.06,612.5,success,10.1015625,,0,102.0625,14.03125
76,237,Linear,0.0228561983186093,8192,9216,1.125,3.1615857411979342,7.212367472107787,-1.2585295843480713,True,191.0,LAYER_TYPE.DENSE,7.339188658952132,4.25,2.281,transformer.h.19.self_attention.query_key_value,0,17760.0,8192,324,8192,1,0.12008809673321857,191.0,93.0,success,13.8203125,,0,191.0,9.28125
77,238,Linear,0.03870517410969526,8192,8192,1.0,3.38943639047457,5.239724420040278,-1.2713881241626108,True,35.16,LAYER_TYPE.DENSE,6.579043546982094,4.246,1.546,transformer.h.19.self_attention.dense,0,17580.0,8192,706,8192,1,0.08992762485034282,35.16,500.2,success,5.9296875,,5,35.15625,6.1640625
78,241,Linear,0.009548524796606228,8192,32768,4.0,3.7982147501489947,11.95102336423834,-0.4914373185369384,True,1404.0,LAYER_TYPE.DENSE,11.954745591785748,inf,3.146,transformer.h.19.mlp.dense_h_to_4h,0,inf,8192,261,8192,1,0.1732051447736441,1404.0,inf,success,37.46875,,0,1404.0,25.90625
79,243,Linear,0.012175041324185731,8192,32768,4.0,3.7395198874192133,7.617811020660624,-1.301123497483734,True,108.94,LAYER_TYPE.DENSE,8.517045250656155,4.793,2.037,transformer.h.19.mlp.dense_4h_to_h,0,62000.0,8192,819,8192,1,0.09572657192932327,108.94,569.5,success,10.4375,,0,108.9375,14.4765625
80,249,Linear,0.03514457879574351,8192,9216,1.125,3.036608788578182,6.678166984255924,-1.2496893382255752,True,158.2,LAYER_TYPE.DENSE,7.064562443360503,4.273,2.2,transformer.h.20.self_attention.query_key_value,0,18740.0,8192,225,8192,1,0.13577391923854548,158.2,118.4,success,12.578125,,0,158.25,13.0546875
81,250,Linear,0.03382348162145876,8192,8192,1.0,5.901563337200604,9.04253210553491,-1.268173489208976,True,34.1,LAYER_TYPE.DENSE,9.884374392853935,4.242,1.532,transformer.h.20.self_attention.dense,0,17500.0,8192,77,8192,1,0.5585849834608075,34.1,513.5,success,5.83984375,,6,34.09375,15.6875
82,253,Linear,0.006808224434425858,8192,32768,4.0,3.9857376948310277,12.579984599310432,-0.4914373185369384,True,1430.0,LAYER_TYPE.DENSE,12.576469651722968,inf,3.156,transformer.h.20.mlp.dense_h_to_4h,0,inf,8192,529,8192,1,0.1298146823839577,1430.0,inf,success,37.8125,,0,1430.0,19.140625
83,255,Linear,0.014724644180614088,8192,32768,4.0,4.411092626984804,8.787723592821289,-0.4914373185369384,True,98.1,LAYER_TYPE.DENSE,9.45068960512259,inf,1.992,transformer.h.20.mlp.dense_4h_to_h,0,inf,8192,524,8192,1,0.14901427329215897,98.1,inf,success,9.90625,,0,98.125,17.59375
